phase,q,followup,followup_if,id,title,explanation,yes_answer,yes_icon,yes_explanation,yes_next,no_answer,no_icon,no_explanation,no_next,followup_box,info_box_header,info_box_content
1,Q1.1,,,First_time_user,Is it the first time you are working with Version Control?,Version control is a system that records changes to a file or set of files over time so that you can recall or restore specific versions later. Working with a version control system increases the transparancy of your project. ,Yes,img/yes.svg,"Ever produced a text document, script or datafile with a title looking like this: <em>""FinalVersion2.0_REVISITED18may_FL""</em>?</br> Click on more information to learn how to organize your scripts in a reproducible, open, and transparent manner, and an additional advantage, you wil no longer produce files with such titles.",Git_next,No,img/info.svg,"I know version control and have worked with it before. </br> </br> If you want to (re)visit or look up some principles of working with version control, you can find a comprehensive documentation <a href=""https://git-scm.com/book/en/v2/"" target=""_blank""> here</a>.",Git_next,y,Version control,"When working on vast, collaborative scientific projects, keeping track of different versions of your work can be a burden. Still, it is important to store older versions - not only because you might want to revert changes later on in the process, but also because you want to get insight into what changes your coworkers made to your precious file. <br/> <br/> Luckily, there now exist digital version control systems, that make version control easy and understandable. Such version control systems save not only new files that you save to the system, but also the changes between the old and new version. This way, you can easily keep track of changes and revert to old versions (or even combine different ""branches"" of a file) as you please.  <br/><br/> Right now, the most popular software amongst scientists for doing this is Git, a prrogram that manages ""repositories"" (the ""folder"" with your project), which stores files and each file's revision history. <a href=""https://github.com/"" target=""_blank""> Github.com </a> is an cloud web server which offers the opportunity to store your repository remotely, to easily collabore on projects with colleagues. A comprehensive documentation on getting started with Git can be found <a href=""https://git-scm.com/book/en/v2/"" target=""_blank""> here</a>."
1,Q1.2,,,Used_before,"Is it the first time you are working with Git, Python, and <em>doit</em> on your current computer?","To work with the Standardized Research Compendium, you need to have Python Version XX, the package <em>doit</em>, and Git installed on your current computer. ",Yes,img/yes.svg,I need help with it,Repo,No,img/info.svg,"I have all of this installed. </br> </br> If you want to look into the advantages of the combination of Git, Python and <em>doit</em>, have a look at <a href = ""https://github.com/ccs-amsterdam/compendium"" target=""_blank""> our GitHub page</a>. ",Git_next,y,Working from a Terminal,"Add info for Windows, Mac and Linux."
1,Q1.3,Q1.2,y,Git_next,Is this the first time you are working with Git on this computer?,"<a href=""https://en.wikipedia.org/wiki/Git"" target=""_blank""> Git</a> is a distributed version-control system for tracking changes in source code during software development.",Yes,img/yes.svg,I need help with it.,Git_installed,No,img/info.svg,"I have Git installed on this computer. </br> </br> You can find a comprehensive documentation of working with Git <a href=""https://git-scm.com/book/en/v2/"" target=""_blank""> here</a>.",Git_installed,y,Installing Git,"Installing the digital version control system Git is easy - but works differently depending on your operating system.

Visit this webpage to find the specific installation manual for your operating system:
https://gist.github.com/derhuerst/1b15ff4652a867391f03"
1,Q1.4,Q1.2,y,Python_installed,Is this the first time you are working with Python version x on your current computer?,"<a href=""https://en.wikipedia.org/wiki/History_of_Python"" target=""_blank""> Python has developed over time</a>, using different version can cause conflicts with the proposed workflow of the Standardized Research Compendium.",Yes,img/yes.svg,I have not yet installed this Python version. ,Python_installed,No,img/info.svg,"I have this Python version installed. </br> </br> You can find elaborate documentation on working with Python <a href=""https://wiki.python.org/moin/"" target=""_blank"">here</a>.",Python_installed,y,Installing Python,"Python is a programming language that is used by professionals from a wide variety of fields to write software. In Python, many packages (small programs) are written that offer you a specific type of functionality, like the 'doit'-package that we use in the compendium. 

Visit this webpage to find the specific installation manual for your operating system:
https://wiki.python.org/moin/BeginnersGuide/Download"
1,Q1.5,Q1.2,y,Doit_installed,"Is it the first time you will be working with the Python package <a href=""https://pydoit.org/contents.html"" target=""_blank""> <em>doit</em></a> on the current computer?",<em>doit</em> is a modern open-source build-tool written in python designed to be simple to use and flexible to deal with complex work-flows.,Yes,img/yes.svg,I need help with it.,Repo,No,img/info.svg,"I have run <code>pip install doit</code> and thereby have installed <em>doit</em> on my computer. </br> </br> You can find more information on <em>doit</em> <a href=""https://pydoit.org/"" target=""_blank"">here</a>.",Repo,y,Installing doit,"Doit is a powerful automation tool Python package. Simply put, it is a package that enables you to define simple tasks for a program to perform (like building and maintaining a research compendium!). Visit this page for more information about doit: https://pydoit.org/index.html

To install doit, simply type ""pip3 install doit"" (Windows) or ""sudo pip3 install doit"" (Linux / Mac) in the terminal. 

Note: 'pip' is a package installer for Python, which mostly comes pre-installed with your Python version. If, for whatever reason, you have to (re-)install pip, visit this website for an installation guide for different systems: https://pip.pypa.io/en/stable/"
1,Q1.6,,,Repo,Is it the first time you are creating a version control repository? Or is a version control repository for this project non-existing?,"Create a version control repository on <a href=""https://github.com/"" target=""_blank"">GitHub</a> or a similar provider, such as <a href=""https://bitbucket.org/product"" target=""_blank""> Bitbucket</a>. Doing this from the start and using a version control repositoty to collaborate internally is a good strategy to ensure all needed data and scripts are always accessable. <a href=""https://github.com/"" target=""_blank"">GitHub</a> and other providers allow for private repositories for academic use. ",Yes,img/yes.svg,I need help with it.,Git_forked,No,img/info.svg,"I have created a version control repo.</br> </br> You can find a comprehensive documentation of working with a Git repo <a href=""https://git-scm.com/book/en/v2/Git-Basics-Getting-a-Git-Repository"" target=""_blank""> here</a>.",Git_forked,y,The compendium structure,"To make your project easily understandable and interpetable for others, we advise you to use our standardized research compendium for structuring your project. To do so, we explain you how to copy the blueprint for this structure in the next step.

If you still feel like creating your own folder structure, you can visit this webpage to learn how to create a Github repository: https://help.github.com/en/github/getting-started-with-github/create-a-repo"
1,Q1.7,,,Git_forked,"Is it the first time you are going to fork, copy or clone the Version Control Structure proposed by the Standardized Research Compendium?","You can find the Version Control Structure proposed by the Standardized Research Compendium on the <a href=""https://github.com/ccs-amsterdam/compendium"" target=""_blank""> authors’ GitHub page</a>.",Yes,img/yes.svg,I need help with it.,doit_install,No,img/info.svg,"I have forked, copied or cloned the Version Control Structure from the authors’ Github page.. </br> </br> Here you can find a comprehensive documentation of <a href=""https://git-scm.com/book/en/v2/GitHub-Contributing-to-a-Project"" target=""_blank""> forking</a>,<a href=""https://git-scm.com/book/en/v2/Git-Basics-Getting-a-Git-Repository"" target=""_blank""> copying</a>, or <a href=""https://git-scm.com/docs/git-clone"" target=""_blank""> cloning</a>.",doit_install,y,Forking the compendium structure,"By 'forking' a repository on Github, you simply make your own copy of the repository which you can subsequently edit as you see fit. We advise you to fork the basic folder structure template from Github, to ensure that your project adheres to the standardized folder structure. You can find the template here: https://github.com/ccs-amsterdam/compendium

To fork the template, go to the template page and click 'Fork' button on the top right corner of the screen."
1,Q1.8,,,doit_install,Do you need help or would you like more information about running <code>doit install</code> in the command line to set up the necessary Python and/or R environment for you research project?,"For the workflow, <code> doit install </code> is essential for the workflow of the Standardized Research Compendium. This will set up the necessary Python and/or R environment.",Yes,img/yes.svg,I need help with it.,preregistration,No,img/info.svg,"I have run <code>doit install</code> or know how to do it.</br> </br> You can find more information on installing <em>doit</em> <a href=""https://pydoit.org/install.html"" target=""_blank"">here</a>.",preregistration,y,Run doit install,"To get your repository up and running, you have to access the doit package to install all neccessary Python and/or R components to have your project all set up.

This is done simply by opening your terminal, nagivating to your repository and running ""doit install""."
1,Q1.9,,,preregistration,Have you considered pre-registering your study?,"Preregistration is the practice of documenting your research plan at the beginning of your study and storing that plan in a read-only public repository. For an overview of registry services, see <a href=""https://osf.io/registries"" target=""_blank""> OSF Registries</a>.",Yes,img/yes.svg,"I plan to preregister my study. </br> </br> <a href=""https://www.nature.com/articles/s41562-019-0772-6"" target=""_blank"">This article</a>, published in <em>Nature</em>, entitled <i>A Consensus-Based Transparency Checklist</i> aims to improve and document the transparency of research reports in social and behavioural research. Their accompanying <a href=""http://www.shinyapps.org/apps/TransparencyChecklist/"" target=""_blank"">online application</a> allows users to answer a series of questions and generates a report that they can submit with their manuscript or post to a public repository.",phase_2,No,img/info.svg,"Pre-registration is not applicable for my study (anymore). </br> </br> For research that uses existing datasets, there is an increased risk of analysts being biased by preliminary trends in the dataset. <a href=""https://osf.io/x4gzt/"" target=""_blank""> This page</a> provides a framework for preregistering studies that use existing data. ",phase_2,,,
2,Q2.0,,,Phase_2,Does your project use Python?,"<a href=""https://www.python.org/"" target=""_blank"">Python</a>  is an interpreted, high-level, general-purpose programming language.",Yes,,,,No,,,,,,
